strategy,market,params,train_cagr,train_dd,test_cagr,test_dd,test_sharpe,test_trades,win_rate,score
crash,3033.HK,"lb2,drop0.07,ma200,h2,sl0.05,tp0.1",-0.24661679507103806,-0.668158940144634,-0.02465818013556298,-0.05275249268399995,-0.8000973702884981,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h3,sl0.03,tp0.06",-0.27810458686694695,-0.6687471586085381,-0.015251629204503958,-0.032810439898399935,-0.8727688305419319,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h3,sl0.03,tp0.1",-0.2649189186663501,-0.6614271596330419,-0.015251629204503958,-0.032810439898399935,-0.8727688305419319,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h3,sl0.05,tp0.06",-0.26850524457582003,-0.675333396948482,-0.02465818013556298,-0.05275249268399995,-0.8000973702884981,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h3,sl0.05,tp0.1",-0.24661679507103806,-0.668158940144634,-0.02465818013556298,-0.05275249268399995,-0.8000973702884981,1,0.0,-inf
crash,3033.HK,"lb3,drop0.03,ma50,h1,sl0.03,tp0.06",-0.5297819006213496,-0.9182965872057288,-0.3066901817788993,-0.5532420770390796,-1.2800311101908783,55,0.34545454545454546,-0.7593560474227817
crash,3033.HK,"lb3,drop0.03,ma50,h1,sl0.03,tp0.1",-0.5258722333257858,-0.9146328481079061,-0.3200149771531545,-0.5691597022652908,-1.3629097664778984,55,0.34545454545454546,-0.7545304453527624
crash,3033.HK,"lb3,drop0.03,ma50,h1,sl0.05,tp0.06",-0.5252333897639477,-0.9209504881641374,-0.20850969749134562,-0.44757591896404214,-0.8503558111739394,55,0.4727272727272727,-0.7554710118049821
crash,3033.HK,"lb3,drop0.03,ma50,h1,sl0.05,tp0.1",-0.5212859034984925,-0.9185202526618526,-0.22372143406922185,-0.4459184035324577,-0.9378574490777741,55,0.4727272727272727,-0.7509159666639555
crash,3033.HK,"lb3,drop0.03,ma50,h2,sl0.03,tp0.06",-0.5062165140866679,-0.9082038131233715,-0.21097623540741783,-0.43767907817033824,-0.6869601967267951,45,0.4,-0.7332674673675108
crash,3033.HK,"lb3,drop0.03,ma50,h2,sl0.03,tp0.1",-0.4767423860783485,-0.9040512313049703,-0.20405561427475827,-0.4384375271356562,-0.6405609213781469,44,0.38636363636363635,-0.7027551939045911
crash,3033.HK,"lb3,drop0.03,ma50,h2,sl0.05,tp0.06",-0.5001036189846124,-0.904825856363458,-0.1461953409118184,-0.43415858226885373,-0.3842331255385966,41,0.4878048780487805,-0.726310083075477
crash,3033.HK,"lb3,drop0.03,ma50,h2,sl0.05,tp0.1",-0.4994395518880642,-0.9172671228511139,-0.18393065819701326,-0.44832486149574335,-0.5531086104166025,40,0.475,-0.7287563326008427
crash,3033.HK,"lb3,drop0.03,ma50,h3,sl0.03,tp0.06",-0.4810794135688886,-0.8974052079141526,-0.2846937048871786,-0.5167683668138482,-1.0090347918081162,44,0.29545454545454547,-0.7054307155474268
crash,3033.HK,"lb3,drop0.03,ma50,h3,sl0.03,tp0.1",-0.4428801371699529,-0.8834548303008553,-0.182403105691336,-0.4375395400154799,-0.4724817007705942,43,0.3023255813953488,-0.6637438447451667
crash,3033.HK,"lb3,drop0.03,ma50,h3,sl0.05,tp0.06",-0.4974581736976248,-0.8984996072902813,-0.22668976725562073,-0.5267788825713038,-0.6749218725321902,40,0.4,-0.7220830755201951
crash,3033.HK,"lb3,drop0.03,ma50,h3,sl0.05,tp0.1",-0.513733990844583,-0.9154202241579358,-0.16004342245125958,-0.44959922010523434,-0.37660110157298904,38,0.39473684210526316,-0.742589046884067
crash,3033.HK,"lb3,drop0.03,ma100,h1,sl0.03,tp0.06",-0.4884332615947409,-0.9151361668907627,-0.2882676576737411,-0.524779351788405,-1.2910530960766242,41,0.2682926829268293,-0.7172173033174316
crash,3033.HK,"lb3,drop0.03,ma100,h1,sl0.03,tp0.1",-0.5050241654003168,-0.9224680852678303,-0.3019465175045014,-0.541711081007342,-1.3810403519800885,41,0.2682926829268293,-0.7356411867172744
crash,3033.HK,"lb3,drop0.03,ma100,h1,sl0.05,tp0.06",-0.49017763435429973,-0.9213291264454718,-0.17733108931281283,-0.39228126236273564,-0.7977068607728852,41,0.43902439024390244,-0.7205099159656677
crash,3033.HK,"lb3,drop0.03,ma100,h1,sl0.05,tp0.1",-0.5067119654422174,-0.9281259962358325,-0.1931420508881061,-0.3904578386194981,-0.8958081783186533,41,0.43902439024390244,-0.7387434645011756
crash,3033.HK,"lb3,drop0.03,ma100,h2,sl0.03,tp0.06",-0.46316666189833444,-0.9034983592563698,-0.2268150450463755,-0.42785772920249565,-0.8751610698867653,34,0.35294117647058826,-0.6890412517124269
crash,3033.HK,"lb3,drop0.03,ma100,h2,sl0.03,tp0.1",-0.4335857791019604,-0.9002081312130633,-0.2114774675754103,-0.4032349418292599,-0.7678288856650078,33,0.3333333333333333,-0.6586378119052262
crash,3033.HK,"lb3,drop0.03,ma100,h2,sl0.05,tp0.06",-0.4578832249272814,-0.9036393988116729,-0.15918045758988963,-0.43230258441023695,-0.5303385343821779,30,0.43333333333333335,-0.6837930746301997
crash,3033.HK,"lb3,drop0.03,ma100,h2,sl0.05,tp0.1",-0.4565064759543137,-0.9156190953751963,-0.18752611092116134,-0.4323025844102366,-0.6756190700493376,29,0.41379310344827586,-0.6854112497981127
crash,3033.HK,"lb3,drop0.03,ma100,h3,sl0.03,tp0.06",-0.44224060976763035,-0.8930909421218001,-0.26473119339658113,-0.48701657687390143,-1.0511581892400153,33,0.2727272727272727,-0.6655133452980804
crash,3033.HK,"lb3,drop0.03,ma100,h3,sl0.03,tp0.1",-0.4217911389587614,-0.8952207262358779,-0.21974866831653628,-0.4636059286711143,-0.7697297320100027,32,0.28125,-0.6455963205177309
crash,3033.HK,"lb3,drop0.03,ma100,h3,sl0.05,tp0.06",-0.43936339963361737,-0.883863509926093,-0.20049863198961537,-0.4912981268466341,-0.6732447754554368,29,0.3793103448275862,-0.6603292771151406
crash,3033.HK,"lb3,drop0.03,ma100,h3,sl0.05,tp0.1",-0.49997443086710214,-0.9283688852374535,-0.1937615975292999,-0.4488091452562313,-0.6507743986281758,27,0.37037037037037035,-0.7320666521764655
crash,3033.HK,"lb3,drop0.03,ma200,h1,sl0.03,tp0.06",-0.5232948613676194,-0.9120813829978014,-0.18457380791166111,-0.3615744342549031,-0.9881863028230096,36,0.2777777777777778,-0.7513152071170697
crash,3033.HK,"lb3,drop0.03,ma200,h1,sl0.03,tp0.1",-0.5258365753271248,-0.9117976480697197,-0.20992595529936364,-0.4003827177061017,-1.210602108919722,36,0.2777777777777778,-0.7537859873445547
crash,3033.HK,"lb3,drop0.03,ma200,h1,sl0.05,tp0.06",-0.5166765357480922,-0.9061314553416324,-0.10632465079156561,-0.2726438083813959,-0.61605065618578,36,0.4166666666666667,-0.7432093995835003
crash,3033.HK,"lb3,drop0.03,ma200,h1,sl0.05,tp0.1",-0.5192535375391161,-0.9077502754257414,-0.13410961697209012,-0.2894934576627284,-0.8660445427031939,36,0.4166666666666667,-0.7461911063955514
crash,3033.HK,"lb3,drop0.03,ma200,h2,sl0.03,tp0.06",-0.4947603639375143,-0.907432481087394,-0.0921880610386151,-0.2115785989186595,-0.35218512562543547,30,0.4,-0.7216184842093628
crash,3033.HK,"lb3,drop0.03,ma200,h2,sl0.03,tp0.1",-0.49433946651381544,-0.9028091449783932,-0.08478018486735761,-0.20766277384128984,-0.302491892410911,29,0.3793103448275862,-0.7200417527584138
crash,3033.HK,"lb3,drop0.03,ma200,h2,sl0.05,tp0.06",-0.4857229447823733,-0.9113167651572083,-0.03606573699705895,-0.23600379579581965,-0.059427499305175276,28,0.4642857142857143,-0.7135521360716754
crash,3033.HK,"lb3,drop0.03,ma200,h2,sl0.05,tp0.1",-0.5262622489921924,-0.9299454137864221,-0.07922643121982464,-0.24120770601374708,-0.28951695903398234,27,0.4444444444444444,-0.7587486024387979
crash,3033.HK,"lb3,drop0.03,ma200,h3,sl0.03,tp0.06",-0.4762535032987596,-0.900838077035758,-0.12990679091740565,-0.26070227516714606,-0.5343811207899191,29,0.3103448275862069,-0.7014630225576991
crash,3033.HK,"lb3,drop0.03,ma200,h3,sl0.03,tp0.1",-0.4871271219396388,-0.9066321823574062,-0.09176082565011634,-0.25411573422397926,-0.30909121007786783,28,0.32142857142857145,-0.7137851675289903
crash,3033.HK,"lb3,drop0.03,ma200,h3,sl0.05,tp0.06",-0.4712364559004866,-0.9001382622363003,-0.07621485597801458,-0.3038953994091179,-0.219341757237362,27,0.4074074074074074,-0.6962710214595617
crash,3033.HK,"lb3,drop0.03,ma200,h3,sl0.05,tp0.1",-0.5426452719590928,-0.9279671203306027,-0.0836501415025841,-0.25355271517972955,-0.2689725840358197,25,0.4,-0.7746370520417435
crash,3033.HK,"lb3,drop0.05,ma50,h1,sl0.03,tp0.06",-0.4011891685515816,-0.8258981739447238,-0.1760012560078411,-0.3430879431576843,-1.1608994502726133,16,0.25,-0.6076637120377626
crash,3033.HK,"lb3,drop0.05,ma50,h1,sl0.03,tp0.1",-0.4202496394812153,-0.8321344635984594,-0.17861646204463721,-0.34760510857377547,-1.1877912203979448,16,0.25,-0.6282832553808302
crash,3033.HK,"lb3,drop0.05,ma50,h1,sl0.05,tp0.06",-0.3857446100747336,-0.8347093247886863,-0.0932561700269654,-0.2513791505982498,-0.5569467975132216,16,0.5,-0.5944219412719052
crash,3033.HK,"lb3,drop0.05,ma50,h1,sl0.05,tp0.1",-0.405296689609971,-0.8477445333749154,-0.09613399229946595,-0.2513791505982498,-0.5813687164919562,16,0.5,-0.6172328229536999
crash,3033.HK,"lb3,drop0.05,ma50,h2,sl0.03,tp0.06",-0.4132950587155173,-0.8276982848443488,-0.1297949763693803,-0.3150934572843447,-0.7585028426450787,14,0.35714285714285715,-0.6202196299266045
crash,3033.HK,"lb3,drop0.05,ma50,h2,sl0.03,tp0.1",-0.4161977143164265,-0.8295792654368089,-0.12122211332999921,-0.3150934572843447,-0.6761095874694868,14,0.2857142857142857,-0.6235925306756287
crash,3033.HK,"lb3,drop0.05,ma50,h2,sl0.05,tp0.06",-0.41007262961196844,-0.8446907579922821,-0.031056289356139577,-0.3214768190489464,-0.06363363745126013,14,0.5714285714285714,-0.621245319110039
crash,3033.HK,"lb3,drop0.05,ma50,h2,sl0.05,tp0.1",-0.44128942291369466,-0.8594073035092338,-0.0724018870957771,-0.3214768190489462,-0.29782975925528554,14,0.5,-0.6561412487910031
crash,3033.HK,"lb3,drop0.05,ma50,h3,sl0.03,tp0.06",-0.39231107983643965,-0.804620729270887,-0.13822337020314046,-0.3150934572843447,-0.8057982332955426,14,0.2857142857142857,-0.5934662621541614
crash,3033.HK,"lb3,drop0.05,ma50,h3,sl0.03,tp0.1",-0.3954595171585408,-0.8170562117359791,-0.11611484103867853,-0.3150934572843447,-0.639341203224791,14,0.2857142857142857,-0.5997235700925355
